INDICE;NOME;COMENTARIO;ICONE;ALTITUDE;DATA;ANGULO;DISPLAY;ZONA;Y;X;TIPO;LOCAL;DIMENSAO;TESTE
101;101;29/6/2011;101;399,79102;30/12/1989 21:00:00;0;0;21K;7536621,346;729036,151;6;TERRENO;M;2
105;105;29/6/2011;101;399,79102;30/12/1989 21:00:00;0;0;21K;7536523,235;729282,842;6;TERRENO;P;1
106;106;29/6/2011;101;398,10876;30/12/1989 21:00:00;0;0;21K;7536357,868;729312,61;3;TERRENO;M;2
107;107;29/6/2011;101;400,99255;30/12/1989 21:00:00;0;0;21K;7536292,258;729322,94;3;TERRENO;P;1
108;108;29/6/2011;101;393,54236;30/12/1989 21:00:00;0;0;21K;7536146,213;729336,933;3;TERRENO;P;1
109;109;29/6/2011;101;397,62805;30/12/1989 21:00:00;0;0;21K;7536215,354;729327,745;3;TERRENO;P;1
110;110;29/6/2011;101;398,349;30/12/1989 21:00:00;0;0;21K;7536497,112;729363,256;5;CALCADA;P;1
111;111;29/6/2011;101;401,71362;30/12/1989 21:00:00;0;0;21K;7536750,65;729339,617;6;TERRENO;P;1
113;113;29/6/2011;101;401,95398;30/12/1989 21:00:00;0;0;21K;7536563,909;729618,466;3;TERRENO;M;2
114;114;29/6/2011;101;404,35718;30/12/1989 21:00:00;0;0;21K;7536361,002;729719,469;3;TERRENO;P;1
116;116;29/6/2011;101;399,79102;30/12/1989 21:00:00;0;0;21K;7536800,444;729825,597;5;RUA;M;2
117;117;29/6/2011;101;394,50366;30/12/1989 21:00:00;0;0;21K;7536210,926;729240,617;3;CALCADA;M;2
118;118;29/6/2011;101;399,79102;30/12/1989 21:00:00;0;0;21K;7536491,014;729940,135;4;CALCADA;M;2
119;119;29/6/2011;101;397,3877;30/12/1989 21:00:00;0;0;21K;7536967,63;729897,939;5;CALCADA;P;1
120;120;29/6/2011;101;401,95398;30/12/1989 21:00:00;0;0;21K;7536624,666;729502,765;6;CALCADA;P;1
121;121;29/6/2011;101;407,00073;30/12/1989 21:00:00;0;0;21K;7536955,296;725653,407;2;TERRENO;EG;4
123;123;29/6/2011;101;428,63037;30/12/1989 21:00:00;0;0;21K;7537998,161;728168,986;6;TERRENO;M;2
124;124;29/6/2011;101;414,69128;30/12/1989 21:00:00;0;0;21K;7538005,56;728116,354;3;CALCADA;M;2
125;125;29/6/2011;101;410,84595;30/12/1989 21:00:00;0;0;21K;7537985,368;728012,124;6;CALCADA;M;2
126;126;29/6/2011;101;411,32666;30/12/1989 21:00:00;0;0;21K;7537973,86;728004,756;6;CALCADA;P;1
127;127;29/6/2011;101;415,172;30/12/1989 21:00:00;0;0;21K;7538065,093;727939,313;3;CALCADA;P;1
129;129;29/6/2011;101;404,83777;30/12/1989 21:00:00;0;0;21K;7538035,163;727879,307;6;CALCADA;P;1
131;131;29/6/2011;101;418,05591;30/12/1989 21:00:00;0;0;21K;7538321,987;728285,147;2;CALCADA;M;2
132;132;29/6/2011;101;411,56702;30/12/1989 21:00:00;0;0;21K;7538306,375;728124,281;6;CALCADA;P;1
133;133;29/6/2011;101;410,36536;30/12/1989 21:00:00;0;0;21K;7538295,48;728019,175;1;TERRENO;G;3
134;134;29/6/2011;101;414,21069;30/12/1989 21:00:00;0;0;21K;7538281,496;727883,296;1;CALCADA;P;1
